Date,Open,High,Low,Close,Volume,Adj Close
1972-10-23,389.000015,392.50,389.000015,390.499992,552000,6.283112
1972-10-20,378.499985,387.000008,377.999992,387.000008,796800,6.226798
1972-10-19,379.000015,379.249992,375.499992,378.499985,811200,6.090033
1972-10-18,374.500008,379.749985,374.500008,379.000015,1612800,6.098078
1972-10-17,364.500008,372.000008,361.500015,370.250015,2627200,5.957292
1972-10-16,379.000015,380.00,362.249985,364.500008,1904000,5.864775
1972-10-13,383.499985,383.499985,377.249985,379.000015,1440000,6.098078
1972-10-12,388.499985,388.499985,384.500008,384.500008,1049600,6.186573
1972-10-11,394.000015,394.249992,384.000015,390.750008,2044800,6.287135
1972-10-10,400.250015,402.999992,392.000008,394.000015,1107200,6.339427
1972-10-09,401.500015,403.375015,400.00,400.250015,219200,6.439989
1972-10-06,395.00,403.75,393.75,401.500015,737600,6.460102
1972-10-05,403.250008,403.499985,395.00,395.00,739200,6.355517
1972-10-04,406.749992,407.874985,403.250008,403.250008,449600,6.488259
1972-10-03,405.250015,407.50,405.250015,406.749992,449600,6.544573
1972-10-02,406.500015,406.749992,403.499985,405.250015,483200,6.520439
1972-09-29,404.249992,406.749992,403.499985,406.500015,668800,6.540551
1972-09-28,405.750008,405.750008,401.500015,404.249992,777600,6.504349
1972-09-27,398.250008,407.000008,398.250008,407.000008,793600,6.548596
1972-09-26,398.250008,401.500015,397.999992,398.125,564800,6.405798
1972-09-25,398.250008,399.000015,397.249985,398.250008,371200,6.407809
1972-09-22,399.500008,399.749985,396.500015,398.250008,465600,6.407809
1972-09-21,400.499992,400.999985,398.499985,399.500008,393600,6.427922
1972-09-20,397.000008,400.875015,397.000008,400.499992,371200,6.444011
1972-09-19,397.000008,399.249992,397.000008,397.000008,384000,6.387697
1972-09-18,397.000008,397.000008,394.000015,396.25,344000,6.375629
1972-09-15,399.500008,400.250015,397.750015,397.750015,387200,6.399764
1972-09-14,397.999992,400.499992,397.249985,399.500008,371200,6.427922
1972-09-13,395.00,397.999992,393.250008,397.999992,545600,6.403787
1972-09-12,396.500015,398.499985,393.250008,395.00,571200,6.355517
1972-09-11,397.750015,397.750015,393.499985,396.500015,428800,6.379652
1972-09-08,399.500008,400.499992,398.75,398.75,371200,6.415854
1972-09-07,401.25,402.999992,398.75,399.500008,452800,6.427922
1972-09-06,404.749985,405.499992,400.999985,401.25,352000,6.456079
1972-09-05,406.25,406.749992,404.500008,404.749985,340800,6.512393
1972-09-01,408.499985,409.749985,405.250015,406.25,384000,6.536528
1972-08-31,407.999992,409.249992,405.999985,408.499985,441600,6.572731
1972-08-30,408.75,409.500008,407.000008,407.999992,344000,6.564686
1972-08-29,404.249992,409.000015,402.999992,408.75,728000,6.576753
1972-08-28,405.999985,407.50,404.249992,404.249992,396800,6.504349
1972-08-25,407.249985,407.999992,405.499992,405.999985,564800,6.532506
1972-08-24,412.999992,413.499985,407.125015,407.249985,339200,6.552618
1972-08-23,412.750015,414.000015,411.500015,412.999992,292800,6.645135
1972-08-22,410.999985,414.500008,410.999985,412.750015,492800,6.641113
1972-08-21,411.500015,413.75,408.250008,410.499992,409600,6.60491
1972-08-18,413.250008,416.500015,411.500015,411.500015,497600,6.621001
1972-08-17,415.999985,417.249985,413.250008,413.250008,521600,6.649158
1972-08-16,420.250015,421.500015,415.999985,415.999985,355200,6.693405
