Threshold = 221 | F-measure = 0.1723145 | clusters = 229 | common = 29 | cost = 4904.78857421875
Threshold = 222 | F-measure = 0.1708876 | clusters = 227 | common = 29 | cost = 4497.49169921875
Threshold = 223 | F-measure = 0.180083 | clusters = 228 | common = 30 | cost = 4153.9580078125
Threshold = 224 | F-measure = 0.188451 | clusters = 227 | common = 31 | cost = 3827.80517578125
Threshold = 225 | F-measure = 0.188451 | clusters = 227 | common = 31 | cost = 3533.21923828125
Threshold = 226 | F-measure = 0.188451 | clusters = 227 | common = 31 | cost = 3255.1953125
Threshold = 227 | F-measure = 0.188451 | clusters = 227 | common = 31 | cost = 2994.43115234375
Threshold = 228 | F-measure = 0.1877457 | clusters = 225 | common = 31 | cost = 2735.21118164062
Threshold = 229 | F-measure = 0.1877457 | clusters = 225 | common = 31 | cost = 2505.20288085938
Threshold = 230 | F-measure = 0.1877457 | clusters = 225 | common = 31 | cost = 2295.98217773438
Threshold = 231 | F-measure = 0.1865962 | clusters = 223 | common = 31 | cost = 2066.97924804688
Threshold = 232 | F-measure = 0.1878893 | clusters = 222 | common = 31 | cost = 1798.98645019531
Threshold = 233 | F-measure = 0.177657 | clusters = 220 | common = 30 | cost = 1631.51953125
Threshold = 234 | F-measure = 0.177657 | clusters = 217 | common = 30 | cost = 1464.19067382812
Threshold = 235 | F-measure = 0.177657 | clusters = 216 | common = 30 | cost = 1325.89965820312
Threshold = 236 | F-measure = 0.177657 | clusters = 215 | common = 30 | cost = 1157.85437011719
Threshold = 237 | F-measure = 0.1778286 | clusters = 215 | common = 30 | cost = 1001.259765625
Threshold = 238 | F-measure = 0.1872182 | clusters = 182 | common = 32 | cost = 368.6220703125
Threshold = 239 | F-measure = 0.1790127 | clusters = 185 | common = 31 | cost = 309.157775878906
Threshold = 240 | F-measure = 0.1804495 | clusters = 189 | common = 31 | cost = 258.577728271484
Threshold = 241 | F-measure = 0.1818863 | clusters = 190 | common = 31 | cost = 216.029479980469
Threshold = 242 | F-measure = 0.1827244 | clusters = 193 | common = 31 | cost = 180.551422119141
Threshold = 243 | F-measure = 0.1827244 | clusters = 193 | common = 31 | cost = 148.477386474609
Threshold = 244 | F-measure = 0.1838738 | clusters = 197 | common = 31 | cost = 120.115921020508
Threshold = 245 | F-measure = 0.1838738 | clusters = 199 | common = 31 | cost = 97.0570983886719
Threshold = 246 | F-measure = 0.1838738 | clusters = 200 | common = 31 | cost = 79.2360610961914
Threshold = 247 | F-measure = 0.1838738 | clusters = 202 | common = 31 | cost = 63.028751373291
Threshold = 248 | F-measure = 0.1838738 | clusters = 204 | common = 31 | cost = 49.3289604187012
Threshold = 249 | F-measure = 0.1838738 | clusters = 206 | common = 31 | cost = 38.2094383239746
Threshold = 250 | F-measure = 0.1838738 | clusters = 206 | common = 31 | cost = 28.4018707275391
Threshold = 251 | F-measure = 0.1838738 | clusters = 206 | common = 31 | cost = 20.1520500183105
Threshold = 252 | F-measure = 0.1838738 | clusters = 206 | common = 31 | cost = 14.0238494873047
Threshold = 253 | F-measure = 0.1838738 | clusters = 210 | common = 31 | cost = 8.95036029815674
Threshold = 254 | F-measure = 0.1838738 | clusters = 210 | common = 31 | cost = 5.69767999649048
Threshold = 255 | F-measure = 0.1849001 | clusters = 211 | common = 31 | cost = 4.66983032226562
Threshold = 256 | F-measure = 0.1863369 | clusters = 214 | common = 31 | cost = 3.04223012924194
Threshold = 257 | F-measure = 0.1863369 | clusters = 215 | common = 31 | cost = 1.27550995349884
Threshold = 258 | F-measure = 0.1785683 | clusters = 216 | common = 30 | cost = 0.275510013103485
Threshold = 259 | F-measure = 0.1785683 | clusters = 216 | common = 30 | cost = 0
Threshold = 260 | F-measure = 0.1702004 | clusters = 219 | common = 29 | cost = 0
Threshold = 261 | F-measure = 0.1702004 | clusters = 220 | common = 29 | cost = 0
Threshold = 262 | F-measure = 0.1716371 | clusters = 223 | common = 29 | cost = 0
Threshold = 263 | F-measure = 0.1716371 | clusters = 224 | common = 29 | cost = 0
Threshold = 264 | F-measure = 0.1716371 | clusters = 224 | common = 29 | cost = 0
Threshold = 265 | F-measure = 0.1724753 | clusters = 225 | common = 29 | cost = 0
Threshold = 266 | F-measure = 0.1739121 | clusters = 226 | common = 29 | cost = 0
Threshold = 267 | F-measure = 0.1739121 | clusters = 227 | common = 29 | cost = 0
Threshold = 268 | F-measure = 0.1744457 | clusters = 228 | common = 29 | cost = 0
Threshold = 269 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 0
Threshold = 270 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 0
Threshold = 271 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 0
Threshold = 272 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 0
Threshold = 273 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 0
Threshold = 274 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 275 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 276 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 277 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 0
Threshold = 278 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 0
