
currentTclustCluster = c5 | nextThreshold = 36

currentTclustCluster = c13 | nextThreshold = 36

currentTclustCluster = c14 | nextThreshold = 36

currentTclustCluster = c35 | nextThreshold = 36

currentTclustCluster = c36 | nextThreshold = 36

currentTclustCluster = c29 | nextThreshold = 36

currentTclustCluster = c30 | nextThreshold = 36

currentTclustCluster = c18 | nextThreshold = 36

currentTclustCluster = c25 | nextThreshold = 36

currentTclustCluster = c26 | nextThreshold = 36

currentTclustCluster = c22 | nextThreshold = 36

currentTclustCluster = c33 | nextThreshold = 36

currentTclustCluster = c20 | nextThreshold = 36

currentTclustCluster = c9 | nextThreshold = 36

currentTclustCluster = c10 | nextThreshold = 36

currentTclustCluster = c11 | nextThreshold = 36

currentTclustCluster = c12 | nextThreshold = 36

currentTclustCluster = c5 | nextThreshold = 37

currentTclustCluster = c13 | nextThreshold = 37

currentTclustCluster = c14 | nextThreshold = 37

currentTclustCluster = c35 | nextThreshold = 37

currentTclustCluster = c36 | nextThreshold = 37

currentTclustCluster = c29 | nextThreshold = 37

currentTclustCluster = c30 | nextThreshold = 37

currentTclustCluster = c18 | nextThreshold = 37

currentTclustCluster = c25 | nextThreshold = 37

currentTclustCluster = c26 | nextThreshold = 37

currentTclustCluster = c22 | nextThreshold = 37

currentTclustCluster = c33 | nextThreshold = 37

currentTclustCluster = c20 | nextThreshold = 37

currentTclustCluster = c9 | nextThreshold = 37

currentTclustCluster = c10 | nextThreshold = 37

currentTclustCluster = c11 | nextThreshold = 37

currentTclustCluster = c12 | nextThreshold = 37

currentTclustCluster = c5 | nextThreshold = 38

currentTclustCluster = c13 | nextThreshold = 38

currentTclustCluster = c14 | nextThreshold = 38

currentTclustCluster = c35 | nextThreshold = 38

currentTclustCluster = c36 | nextThreshold = 38

currentTclustCluster = c29 | nextThreshold = 38

currentTclustCluster = c30 | nextThreshold = 38

currentTclustCluster = c18 | nextThreshold = 38

currentTclustCluster = c25 | nextThreshold = 38

currentTclustCluster = c26 | nextThreshold = 38

currentTclustCluster = c22 | nextThreshold = 38

currentTclustCluster = c33 | nextThreshold = 38

currentTclustCluster = c20 | nextThreshold = 38

currentTclustCluster = c9 | nextThreshold = 38

currentTclustCluster = c10 | nextThreshold = 38

currentTclustCluster = c11 | nextThreshold = 38

currentTclustCluster = c12 | nextThreshold = 38

currentTclustCluster = c5 | nextThreshold = 39

currentTclustCluster = c13 | nextThreshold = 39

currentTclustCluster = c14 | nextThreshold = 39

currentTclustCluster = c35 | nextThreshold = 39

currentTclustCluster = c36 | nextThreshold = 39

currentTclustCluster = c29 | nextThreshold = 39

currentTclustCluster = c30 | nextThreshold = 39

currentTclustCluster = c18 | nextThreshold = 39

currentTclustCluster = c25 | nextThreshold = 39

currentTclustCluster = c26 | nextThreshold = 39

currentTclustCluster = c22 | nextThreshold = 39

currentTclustCluster = c37 | nextThreshold = 39

currentTclustCluster = c38 | nextThreshold = 39

currentTclustCluster = c20 | nextThreshold = 39

currentTclustCluster = c9 | nextThreshold = 39

currentTclustCluster = c10 | nextThreshold = 39

currentTclustCluster = c11 | nextThreshold = 39

currentTclustCluster = c12 | nextThreshold = 39

currentTclustCluster = c5 | nextThreshold = 40

currentTclustCluster = c13 | nextThreshold = 40

currentTclustCluster = c14 | nextThreshold = 40

currentTclustCluster = c35 | nextThreshold = 40

currentTclustCluster = c36 | nextThreshold = 40

currentTclustCluster = c29 | nextThreshold = 40

currentTclustCluster = c30 | nextThreshold = 40

currentTclustCluster = c18 | nextThreshold = 40

currentTclustCluster = c25 | nextThreshold = 40

currentTclustCluster = c26 | nextThreshold = 40

currentTclustCluster = c22 | nextThreshold = 40

currentTclustCluster = c37 | nextThreshold = 40

currentTclustCluster = c38 | nextThreshold = 40

currentTclustCluster = c20 | nextThreshold = 40

currentTclustCluster = c9 | nextThreshold = 40

currentTclustCluster = c10 | nextThreshold = 40

currentTclustCluster = c11 | nextThreshold = 40

currentTclustCluster = c12 | nextThreshold = 40

currentTclustCluster = c5 | nextThreshold = 41

currentTclustCluster = c13 | nextThreshold = 41

currentTclustCluster = c14 | nextThreshold = 41

currentTclustCluster = c35 | nextThreshold = 41

currentTclustCluster = c36 | nextThreshold = 41

currentTclustCluster = c29 | nextThreshold = 41

currentTclustCluster = c30 | nextThreshold = 41

currentTclustCluster = c18 | nextThreshold = 41

currentTclustCluster = c25 | nextThreshold = 41

currentTclustCluster = c26 | nextThreshold = 41

currentTclustCluster = c22 | nextThreshold = 41

