
currentTclustCluster = c124 | nextThreshold = 18

currentTclustCluster = c125 | nextThreshold = 18

currentTclustCluster = c129 | nextThreshold = 18

currentTclustCluster = c46 | nextThreshold = 18

currentTclustCluster = c269 | nextThreshold = 18

currentTclustCluster = c249 | nextThreshold = 18

currentTclustCluster = c232 | nextThreshold = 18

currentTclustCluster = c233 | nextThreshold = 18

currentTclustCluster = c186 | nextThreshold = 18

currentTclustCluster = c259 | nextThreshold = 18

currentTclustCluster = c260 | nextThreshold = 18

currentTclustCluster = c271 | nextThreshold = 18

currentTclustCluster = c272 | nextThreshold = 18

currentTclustCluster = c251 | nextThreshold = 18

currentTclustCluster = c56 | nextThreshold = 18

currentTclustCluster = c142 | nextThreshold = 18

currentTclustCluster = c261 | nextThreshold = 18

currentTclustCluster = c66 | nextThreshold = 18

currentTclustCluster = c68 | nextThreshold = 18

currentTclustCluster = c79 | nextThreshold = 18

currentTclustCluster = c254 | nextThreshold = 18

currentTclustCluster = c220 | nextThreshold = 18

currentTclustCluster = c177 | nextThreshold = 18

currentTclustCluster = c103 | nextThreshold = 18

currentTclustCluster = c273 | nextThreshold = 18

currentTclustCluster = c105 | nextThreshold = 18

currentTclustCluster = c106 | nextThreshold = 18

currentTclustCluster = c34 | nextThreshold = 19

currentTclustCluster = c35 | nextThreshold = 19

currentTclustCluster = c37 | nextThreshold = 19

currentTclustCluster = c237 | nextThreshold = 19

currentTclustCluster = c275 | nextThreshold = 19

currentTclustCluster = c267 | nextThreshold = 19

currentTclustCluster = c163 | nextThreshold = 19

currentTclustCluster = c164 | nextThreshold = 19

currentTclustCluster = c124 | nextThreshold = 19

currentTclustCluster = c125 | nextThreshold = 19

currentTclustCluster = c277 | nextThreshold = 19

currentTclustCluster = c46 | nextThreshold = 19

currentTclustCluster = c269 | nextThreshold = 19

currentTclustCluster = c249 | nextThreshold = 19

currentTclustCluster = c232 | nextThreshold = 19

currentTclustCluster = c233 | nextThreshold = 19

currentTclustCluster = c186 | nextThreshold = 19

currentTclustCluster = c259 | nextThreshold = 19

currentTclustCluster = c260 | nextThreshold = 19

currentTclustCluster = c271 | nextThreshold = 19

currentTclustCluster = c272 | nextThreshold = 19

currentTclustCluster = c251 | nextThreshold = 19

currentTclustCluster = c56 | nextThreshold = 19

currentTclustCluster = c142 | nextThreshold = 19

currentTclustCluster = c279 | nextThreshold = 19

currentTclustCluster = c66 | nextThreshold = 19

currentTclustCluster = c68 | nextThreshold = 19

currentTclustCluster = c281 | nextThreshold = 19

currentTclustCluster = c254 | nextThreshold = 19

currentTclustCluster = c283 | nextThreshold = 19

currentTclustCluster = c177 | nextThreshold = 19

currentTclustCluster = c103 | nextThreshold = 19

currentTclustCluster = c273 | nextThreshold = 19

currentTclustCluster = c105 | nextThreshold = 19

currentTclustCluster = c106 | nextThreshold = 19

currentTclustCluster = c34 | nextThreshold = 20

currentTclustCluster = c35 | nextThreshold = 20

currentTclustCluster = c37 | nextThreshold = 20

